ip;hostname;year;month;day;hour;minute;second
24.54.76.216;24-54-76-216.bflony.adelphia.net;2005;Jun;17;7;7;0
24.54.76.216;24-54-76-216.bflony.adelphia.net;2005;Jun;17;7;7;0
24.54.76.216;24-54-76-216.bflony.adelphia.net;2005;Jun;17;7;7;0
24.54.76.216;24-54-76-216.bflony.adelphia.net;2005;Jun;17;7;7;0
24.54.76.216;24-54-76-216.bflony.adelphia.net;2005;Jun;17;7;7;0
24.54.76.216;24-54-76-216.bflony.adelphia.net;2005;Jun;17;7;7;0
24.54.76.216;24-54-76-216.bflony.adelphia.net;2005;Jun;17;7;7;2
24.54.76.216;24-54-76-216.bflony.adelphia.net;2005;Jun;17;7;7;4
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;17;20;55;6
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;17;20;55;6
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;17;20;55;6
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;17;20;55;6
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;17;20;55;6
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;17;20;55;7
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;17;20;55;7
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;10
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;10
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;10
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;10
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;10
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;10
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;10
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;11
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;11
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;11
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;11
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;11
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;12
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;12
82.252.162.81;lns-vlq-45-tou-82-252-162-81.adsl.proxad.net;2005;Jun;18;2;8;12
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;24
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
82.83.227.67;dsl-082-083-227-067.arcor-ip.net;2005;Jul;10;7;24;34
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;4;6;32
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;4;6;32
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;37
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;38
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;38
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;38
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;38
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;13;38
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
83.116.207.11;aml-sfh-3310b.adsl.wanadoo.nl;2005;Jul;17;6;14;36
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;35
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;37
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;42
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;43
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;43
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;46
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;47
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;48
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;48
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;51
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;53
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;53
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;54
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;57
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;57
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;58
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;58
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;58
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;59
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;59
207.30.238.8;host8.topspot.net;2005;Jul;17;12;30;59
